,name,Side,entry_date,entry_price,qty,exit_date,exit_price,profit,bars_held,,,50000
18,C_509.0_20240223,SELL,23-02-2024 10:45,0.9,100,23-02-2024 11:14,0.34,5600,29,,,53340
19,C_510.0_20240226,BUY,23-02-2024 11:22,0.79,90,23-02-2024 12:13,1.07,2520,51,,,55860
20,C_508.0_20240223,SELL,23-02-2024 11:03,1.08,100,23-02-2024 14:13,0.57,5100,190,,,60960
21,C_510.0_20240226,BUY,23-02-2024 12:38,0.86,90,23-02-2024 15:15,0.52,-3060,157,,,57900
22,C_506.0_20240227,SELL,27-02-2024 09:42,0.77,100,27-02-2024 10:03,1.06,-2900,21,,,55000
23,C_505.0_20240227,SELL,27-02-2024 12:45,0.82,100,27-02-2024 14:11,1.07,-2500,86,,,52500
24,C_507.0_20240228,BUY,27-02-2024 13:07,0.65,90,27-02-2024 14:17,0.92,2430,70,,,54930
25,C_509.0_20240306,SELL,06-03-2024 10:05,1.19,100,06-03-2024 10:17,1.52,-3300,12,,,51630
26,C_509.0_20240306,SELL,06-03-2024 10:28,1.23,100,06-03-2024 10:35,1.57,-3400,7,,,48230
27,C_511.0_20240307,BUY,06-03-2024 10:12,1.12,90,06-03-2024 10:51,1.39,2430,39,,,50660
28,C_510.0_20240306,SELL,06-03-2024 10:02,1.03,100,06-03-2024 11:02,1.42,-3900,60,,,46760
29,C_517.0_20240308,SELL,08-03-2024 11:02,1.03,100,08-03-2024 11:18,0.51,5200,16,,,51960
30,C_518.0_20240311,BUY,08-03-2024 11:16,0.87,90,08-03-2024 12:54,0.35,-4680,98,,,47280
31,C_516.0_20240313,SELL,13-03-2024 10:01,0.97,100,13-03-2024 10:34,1.23,-2600,33,,,44680
32,C_516.0_20240313,SELL,13-03-2024 10:54,0.89,100,13-03-2024 11:13,1.16,-2700,19,,,41980
33,C_516.0_20240314,SELL,14-03-2024 09:48,1.09,100,14-03-2024 10:00,0.59,5000,12,,,46980
